sentence,quarter,topic,topic_label
"The strong first quarter results we announced today are tracking in line with our expectations for the full year, despite the uncertain macro environment, and they reinforce our confidence in our ability to achieve our longer-term aspirations",2022 Q1,0,Growth & Spending
"For the quarter, revenues were 11.7 billion, up 29 year over year, and earnings were -- earnings per share were 2.73",2022 Q1,0,Growth & Spending
"These results reflect continued momentum in our core business in areas that are critical to sustainable long-term growth, including customer acquisition, engagement, and retention, as well as outstanding credit performance",2022 Q1,0,Growth & Spending
"New proprietary card acquisitions remain at their strong pace, reaching three million this quarter, which continues to be driven by strong demand for our premium fee-based products, particularly among millennial and Gen Z consumers, and small and medium-sized businesses in the U.S",2022 Q1,0,Growth & Spending
We had an all-time high in acquisitions of U.S,2022 Q1,-1,General
"Consumer Platinum and Gold Cards, as well as U.S",2022 Q1,0,Growth & Spending
Business Platinum Cards this quarter,2022 Q1,0,Growth & Spending
"Delta Card acquisitions reached an all-time monthly high in March, an indication of the growing demand for travel-related products and services",2022 Q1,0,Growth & Spending
"Regarding customer engagement, we look at a variety of indicators to measure progress",2022 Q1,0,Growth & Spending
"For example, Card Member engagement with our digital capabilities continues to grow with daily active users across the web and mobile up double digits over last year",2022 Q1,-1,General
"Were also seeing strong engagement with the new benefits we added to our recently refreshed Consumer Platinum Card, particularly among millennial and Gen Z Card Members, nearly half of whom have used at least one of the new travel and lifestyle benefits to date",2022 Q1,0,Growth & Spending
"And we continue to see an acceleration in customer engagement with our Resy dining platform, including strong double-digit growth over the last quarter in a number of Amex cards on file and a number of restaurants participating in our global dining access program",2022 Q1,0,Growth & Spending
"March was one of Resys best months on record for reservations, up nearly 16 over February",2022 Q1,0,Growth & Spending
"Ultimately, the key metric to gauge customer engagement is spending growth",2022 Q1,0,Growth & Spending
"Overall bill business grew 35 in Q1 global year over year on an FX-adjusted basis, and we saw our highest volumes ever in March, surpassing our previous highest of December of 2021",2022 Q1,0,Growth & Spending
"Spending growth was led by the acceleration of volumes from millennial and Gen Z consumers, up 56, and SME is up 30 on an FX-adjusted basis over last year",2022 Q1,-1,General
"Goods and services spending continued to accelerate in the quarter, growing 21 on an FX-adjusted basis over last year",2022 Q1,0,Growth & Spending
"Travel and entertainment spending was up 121 globally on an FX-adjusted basis year over year, driven by strong growth in consumer travel spending",2022 Q1,0,Growth & Spending
"Customer retention remains at the very high levels I mentioned at investor day, an indication of the value our customers continue to place in Amex membership",2022 Q1,0,Growth & Spending
"A major contributor to our success across all of these areas is the ongoing expansion of many partnerships, which go well beyond our large strategic partners like Delta, Hilton, and Amazon",2022 Q1,0,Growth & Spending
We continue to extend relationships with a variety of companies that are adding differentiated value to our membership model,2022 Q1,0,Growth & Spending
"For example, last week, we announced a new financial advice service with Vanguard, exclusive for our U.S",2022 Q1,-1,General
"consumer Card Members, which brings together Vanguards digital financial planning and investment management expertise with our industry-leading membership rewards",2022 Q1,0,Growth & Spending
This is just the latest example of how were expanding our value propositions beyond our traditional card offerings to meet more of our customers financial and lifestyle needs,2022 Q1,0,Growth & Spending
"In addition, were accelerating our focus on fintechs to drive more innovation, including our new partnership with i2c, which will enable fintechs to more seamlessly and quickly issue new products on the American Express network",2022 Q1,-1,General
"We also continue to make progress on our ESG initiatives, which are important components of our overall business strategy because we recognize that when our customers, communities, and colleagues thrive, so does our company",2022 Q1,0,Growth & Spending
"On a diversity equity inclusion front, we are more than three quarters away toward our goal of investing 1 billion in a wide range of actions by 2024, including increasing spend with diverse suppliers, providing resources and financial assistance to minority-owned SMEs in the U.S",2022 Q1,0,Growth & Spending
and maintaining pay equity across genders globally and ethnicities in the U.S,2022 Q1,-1,General
among other efforts,2022 Q1,-1,General
"Our DEI progress was cited as one of the key reasons, along with our flexible work policies for our No",2022 Q1,-1,General
8 ranking on Fortunes 2022 list of the best U.S,2022 Q1,-1,General
"companies to work for, which was announced last week",2022 Q1,-1,General
"This is the third consecutive year weve been in the top 10, which helps us attract and retain talent",2022 Q1,-1,General
"And we recently announced a series of initiatives coinciding with Earth Month that are designed to engage our customers, community partners, and colleagues in our climate efforts, including the goal of significantly expanding the use of recycled plastic in our card products",2022 Q1,0,Growth & Spending
"These initiatives build on the work weve already done and continue our efforts to reduce our own carbon footprint, including our commitment to net-zero carbon emissions by 2035",2022 Q1,0,Growth & Spending
"In summary, with this solid start to the year, the continued tailwinds we expect from the ongoing recovery from the pandemic, were reaffirming our full year guidance of delivering revenue growth in the range of 18 to 20 and earnings per share of between 9.25 and 9.65",2022 Q1,-1,General
"Furthermore, we remain confident that successful execution of our strategy will position us well as we seek to achieve our long-term growth plan aspirations of revenue growth in excess of 10 and mid-teens EPS growth in 2024 and beyond",2022 Q1,0,Growth & Spending
Ill now turn it over to Jeff for a deeper dive on the quarter,2022 Q1,3,Outlook & Guidance
Thank you,2022 Q1,2,Customer & Cards
"Jeff Campbell -- Chief Financial Officer Well, thank you, Steve, and good morning, everyone",2022 Q1,1,Executive & Financial
"Its great to be here to talk about our first quarter results, which reflect a solid start to 2022 and are tracking in line with the guidance we gave for the full year and with our aspiration to build growth momentum beyond 2022",2022 Q1,0,Growth & Spending
Starting with our summary financials on Slide 2,2022 Q1,-1,General
"Most importantly, our first quarter revenues were 11.7 billion, up 31 on an FX-adjusted basis, consistent with the momentum we have built and our longer-term growth aspirations",2022 Q1,0,Growth & Spending
Our reported first quarter net income was 2.1 billion with earnings per share of 2.73,2022 Q1,0,Growth & Spending
"As you know, year over year comparisons of net income have been challenging for the industry over the past two years due to the volatility that the pandemic has caused in credit reserve adjustments",2022 Q1,0,Growth & Spending
"For that reason, we thought it would be a helpful supplemental disclosure this quarter to include our pre-tax pre-provision income",2022 Q1,0,Growth & Spending
"That number was 2.7 billion in the first quarter, up 16 versus the comparable number in 2021, reflecting growth in our core earnings",2022 Q1,0,Growth & Spending
"So, now, lets get into a little more detailed look at our results, starting with volumes",2022 Q1,-1,General
"As you can see in our slides, we have mostly gone back to reporting our volumes on a year-over-year basis, moving away from the comparisons to 2019 that we have done in recent quarters",2022 Q1,-1,General
"We think that returning to a focus on year-over-year comparison gives you a better view of the momentum we have built and the momentum we are seeking to maintain, as we look toward our longer-term growth objectives",2022 Q1,0,Growth & Spending
"Starting on Slide 3, total network volumes and billed business were both up over 30 year-over-year in the first quarter on an FX-adjusted basis, strengthening further from the strong growth rates seen in the past few quarters",2022 Q1,0,Growth & Spending
"And as Steve highlighted, intra-quarter, while omicron slowed growth in January and early February, we then saw a strong acceleration into March, with that month achieving our highest-ever level of monthly billed business",2022 Q1,0,Growth & Spending
And I would point out that the majority of this high level of growth was driven by the momentum we have built and the number of transactions flowing through our network with only a modest impact from inflation,2022 Q1,0,Growth & Spending
"Now, as Ive talked about at our investor day last month and as Slide 4 reiterates, the majority of our billed business is spending on goods and services from our consumer and small- and medium-sized enterprise customers",2022 Q1,-1,General
"And as you can see on Slide 5, business service spending remained robust in the first quarter, with year-over-year growth reaching 21, slightly above the 2021 exit rate",2022 Q1,0,Growth & Spending
"This momentum is from strong growth in online and card-not-present spending that continued in the first quarter even as offline spending growth strengthened, demonstrating the effect of the structural shift in online commerce that weve seen accelerated by the pandemic",2022 Q1,-1,General
"And while TE spending is a smaller portion of our total billings, you see on Slide 6 that it is now strongly supporting our growth momentum, with overall TE spending growing 121 year-over-year",2022 Q1,0,Growth & Spending
"TE spending did show a dip in January and early February due to the omicron variant, but spending then rebounded tremendously, reflecting pent-up travel demand and essentially reached 2019 levels for the first time since the start of the pandemic in the month of March",2022 Q1,0,Growth & Spending
And this kind of TE spending growth has continued right into early April,2022 Q1,0,Growth & Spending
"When you then break these spending trends down across our consumer and commercial businesses, as we begin to do on Slide 7, there are a few other key points Id suggest you take fully",2022 Q1,0,Growth & Spending
"First, our millennial and Gen Z customers continue to drive our highest consumer growth, with their spending up 56 year over year and spending growth from all other age cohorts increasing as well in the quarter",2022 Q1,0,Growth & Spending
"Also, of note, global consumer TE volumes overall were back above 2019 levels as of the first quarter, led by the growth in the U.S",2022 Q1,-1,General
"Second, our commercial business strategic focus on helping SME clients run their businesses continues to drive strong growth in overall SME spending, up 30 in the first quarter with acceleration in growth across both the U.S",2022 Q1,0,Growth & Spending
and international,2022 Q1,-1,General
"While a smaller part of our overall growth is in this segment, I would point out that our large and global corporate clients have begun to show signs of business travel recovery, especially in the latter part of the quarter with a year-over-year growth rate for the quarter of 42",2022 Q1,0,Growth & Spending
"So, overall, we are pleased with the growth momentum we see across the board in our spending volumes, which is tracking in line with our expectations for both the year and for our long-term expectations",2022 Q1,0,Growth & Spending
"As you then move to receivable and loan balances on Slide 9, you see that our growth momentum has brought our ending loan balances roughly back to pre-pandemic levels in this quarter",2022 Q1,0,Growth & Spending
"As I said at investor day, the interest-bearing portion of our loan balances also continues to increase quarter over quarter but is still below 2019 levels, as paydown rates remain elevated due to the liquidity and strength among our customer base",2022 Q1,0,Growth & Spending
"This liquidity and strength is also, of course, evident as you turn to credit and provision on Slides 10 through 12, as we continue to see extremely strong credit performance",2022 Q1,-1,General
"Card Member loans and receivables write-off and delinquency rates remain well below pre-pandemic levels and in line with our expectations, but they did tick up a bit this quarter",2022 Q1,0,Growth & Spending
"As you then turn to the accounting for this credit performance, you will see that this quarter, we released a large part of the remaining credit reserves we built to capture the significant uncertainty of the pandemic, which lacked a comparable precedent",2022 Q1,0,Growth & Spending
"As we have seen a sustained recovery from the pandemic-driven economic shutdowns, we have been able to reduce pandemic-driven reserves",2022 Q1,-1,General
"While there clearly is still plenty of uncertainty today related to the current geopolitical and inflationary environment, we believe that our CECL models are better able to capture our expected credit risk related to these uncertainties to determine the appropriate level of reserves required",2022 Q1,0,Growth & Spending
"Our strong credit performance, combined with the adjustment to our reserves, drove a 33 million provision expense benefit for the first quarter as the low write-offs were fully offset by the net reserve release as shown on Slide 11",2022 Q1,0,Growth & Spending
"As you see on Slide 12, we ended the first quarter with 3.1 billion of reserves, representing 3.3 of our loan balances and 0.1 of our Card Member receivable balances, respectively",2022 Q1,0,Growth & Spending
"This is well below the reserve levels we had pre-pandemic, given the strong credit performance weve seen",2022 Q1,-1,General
"Going forward, as loan balances, especially the interest-bearing portion of loan balances build more meaningfully, we expect delinquency and loss rates to continue to slowly move up over time but remain below pre-pandemic levels this year",2022 Q1,0,Growth & Spending
"We would also expect to end the year with a higher level of reserves on our balance sheet than where we ended this quarter, although there could be some quarterly volatility in reserve adjustments throughout the year",2022 Q1,0,Growth & Spending
"As we move to revenue on Slide 13, I do need to explain some changes weve made to our revenue reporting before moving on to results",2022 Q1,0,Growth & Spending
"As a reminder, we began reporting processed volumes in the first quarter of last year to better differentiate between volume and cards we issue versus those who where we play more of a network role",2022 Q1,-1,General
"For added transparency, we now have moved all of the revenues associated with these volumes out of discount revenue, other fees and commissions, and other revenue and combined them into a newly created line called processed revenue, which you can then match up against our processed volumes",2022 Q1,-1,General
"We have also consolidated the remaining balances from other fees and commissions and other revenue into one line named service fees and other revenue, with the largest components of this line item being service fees earned from merchants, like those generated by our loyalty coalition business and foreign currency-related revenues, such as FX conversion fees",2022 Q1,-1,General
"This revenue line was up strong with 42 growth year over year in the first quarter, as you will see on the next slide",2022 Q1,0,Growth & Spending
This growth was primarily driven by the uptick we have seen in travel-related revenues,2022 Q1,0,Growth & Spending
"And as I said at investor day, we expect this to be a pandemic recovery tailwind throughout this year",2022 Q1,-1,General
You will see we have recast prior periods in the disclosures that accompany our earnings release,2022 Q1,0,Growth & Spending
A description of these reporting changes and definitions for key terms will also be included in our Form 10-Q,2022 Q1,0,Growth & Spending
"With these changes out of the way, lets move to our actual revenue performance beginning on Slide 14",2022 Q1,0,Growth & Spending
Total revenues were up 29 year over year in the first quarter with broad-based revenue growth across all lines,2022 Q1,0,Growth & Spending
"Our largest revenue line, discount revenue grew 38 year over year in Q1 on an FX adjusted basis, as you can see on Slide 15",2022 Q1,0,Growth & Spending
This growth was driven by both our sustained growth in goods and services spending and continued recovery of TE spending,2022 Q1,0,Growth & Spending
"Net card fee revenues were up 16 year over year in the first quarter on an FX-adjusted basis, with growth reaccelerating versus the 10 to 11 growth rate seen in 2021, as you can see on Slide 16",2022 Q1,0,Growth & Spending
"As I said at investor day, this growth is largely driven by bringing new accounts onto our fee-paying products as a result of the investments weve made in our premium value propositions and the continued attractiveness of those value propositions to both prospects and existing customers",2022 Q1,0,Growth & Spending
"This quarter, we acquired 3 million new cards with acquisitions of U.S",2022 Q1,0,Growth & Spending
Consumer and U.S,2022 Q1,0,Growth & Spending
"Business Platinum Card Members reaching record-high, as Steve noted earlier, demonstrating great demand for our products, especially our premium fee-based products",2022 Q1,0,Growth & Spending
Moving on to net interest income,2022 Q1,0,Growth & Spending
"On Slide 17, you will see that it surpassed 2019 levels for the first time this quarter, mainly driven by lower interest expense, in part due to our increased mix of deposits, which is generally our lowest cost funding source, particularly in todays rising rate environment",2022 Q1,-1,General
"First quarter year over year net interest income growth of 20, while very strong, remains slower than the growth in our lending AR, as revolving loan balances continue to rebuild",2022 Q1,0,Growth & Spending
And so we expect net interest income to be a pandemic recovery tailwind to our revenue growth in 2022,2022 Q1,-1,General
"To sum up, on revenues on Slide 18 were tracking well against our expectations",2022 Q1,0,Growth & Spending
"And looking forward, we still expect to see revenue growth of 18 to 20 for the full year of 2022",2022 Q1,0,Growth & Spending
"So, all of the revenue momentum we just discussed was driven by the investments weve been making in marketing, value propositions, coverage, technology, and talent",2022 Q1,0,Growth & Spending
And those investments show up across the expense lines you see on Slide 19,2022 Q1,0,Growth & Spending
"Starting with variable customer engagement expenses, the strong spending growth, and customer engagement that Steve discussed earlier is driving the growth in these expenses lines",2022 Q1,0,Growth & Spending
"In total, these costs came in at 41 of total revenues for the first quarter and are tracking in line with our expectations for variable customer engagement costs to right around 42 of total revenues for the full year",2022 Q1,0,Growth & Spending
"On the marketing line, we invested 1.2 billion in the first quarter, on track with our expectation to spend around 5 billion in 2022",2022 Q1,0,Growth & Spending
"We feel really good about the strong momentum of our new card acquisitions, as I talked about earlier, and, more importantly, about the revenues from those acquisitions, which is trending significantly higher than what we saw pre-pandemic",2022 Q1,0,Growth & Spending
"We continue to see great demand for our products across a wide range of attractive investment opportunities, even beyond those we are currently funding",2022 Q1,-1,General
"Moving to the bottom of Slide 19, operating expenses were 3.1 billion in the first quarter, tracking with our expectation to spend a bit over 12 billion for the full year",2022 Q1,0,Growth & Spending
"While opex was up 26 year over year this quarter, it is important to note that we were growing over a benefit of 384 million in net mark-to-market gains in our Amex Ventures strategic investment portfolio from the first quarter of last year, including in the opex line",2022 Q1,0,Growth & Spending
"I would point out that, what I said earlier that inflation is having some modest positive impact on volumes, it is also putting some pressure on our operating expenses, but well have to wait to see how material any impact might be for the full year",2022 Q1,0,Growth & Spending
"In any event, I still expect to have far less growth in opex compared to revenues and see these costs as a key source of leverage",2022 Q1,0,Growth & Spending
"Turning next to capital, on Slide 20, we returned 1.9 billion of capital to our shareholders in the first quarter, including common stock repurchases of 1.5 billion and 394 million in common stock dividends, on the back of strong earnings generation",2022 Q1,0,Growth & Spending
"Our CET1 ratio was 10.4 at the end of the first quarter, within our target range of 10 to 11",2022 Q1,0,Growth & Spending
We plan to continue to return to shareholders the excess capital we generate while supporting our balance sheet growth,2022 Q1,0,Growth & Spending
"That brings me to our growth plan on Slide 21, and then well open up the call for your questions",2022 Q1,-1,General
"For the full year 2022, we are reaffirming our guidance of having revenue growth of 18 to 20 and earnings share between 9.25 and 9.65",2022 Q1,0,Growth & Spending
"We continue to expect the amount of our volumes, revenues and core earnings to sequentially strengthen throughout the year, driven in part by our pandemic recovery tailwinds",2022 Q1,-1,General
"As I mentioned earlier, there is clearly uncertainty as it relates to the current geopolitical and inflationary environment",2022 Q1,-1,General
"As we sit here today, despite that uncertainty, the combination of our investments, successful execution of our strategy, and a number of structural shifts have all come together to deliver our strong first quarter results and build growth momentum",2022 Q1,0,Growth & Spending
We remain committed to executing against our new growth plan and running the company with a focus on achieving our aspiration of delivering revenue growth in excess of 10 and mid-teens EPS growth on a sustainable basis in 2024 and beyond,2022 Q1,0,Growth & Spending
"With that, Ill turn the call back over to Vivian",2022 Q1,0,Growth & Spending
"Vivian Zhou -- Head of Investor Relations Thank you, Jeff",2022 Q1,1,Executive & Financial
"Before we open up the lines for QA, I will ask those in the queue to please limit yourself to just one question",2022 Q1,2,Customer & Cards
Thank you for your cooperation,2022 Q1,2,Customer & Cards
"And with that, the operator will now open up the line for questions",2022 Q1,2,Customer & Cards
Alan? Operator Operator instructions Our first question will come from the line of Sanjay Sakhrani with KBW,2022 Q1,2,Customer & Cards
"Go ahead, please",2022 Q1,2,Customer & Cards
"Sanjay Sakhrani -- Keefe, Bruyette and Woods -- Analyst Thanks",2022 Q1,1,Executive & Financial
Good morning,2022 Q1,3,Outlook & Guidance
"Obviously, the TE rebound is happening at a brisk pace despite some of these lingering concerns on COVID cases, economic weakness",2022 Q1,0,Growth & Spending
"Jeff, you mentioned large corporate also that recently saw a strong rebound recently",2022 Q1,1,Executive & Financial
Could you talk about how much of the volume rebound is being driven by unit demand versus sort of inflationary pressures? And how worried are you or your corporate clients about some of these issues like supply chain constraints and the economic concerns? Thanks,2022 Q1,0,Growth & Spending
"Steve Squeri -- Chairman and Chief Executive Officer So, let me start and Jeff can maybe add some color as well",2022 Q1,1,Executive & Financial
But this is not being driven by inflation,2022 Q1,0,Growth & Spending
Try and book a flight,2022 Q1,0,Growth & Spending
"So, thats not inflation",2022 Q1,0,Growth & Spending
"Now, that doesnt mean that the airline prices are not a little bit higher",2022 Q1,0,Growth & Spending
"But, you know, not just for TE, but just for the overall business, transactions are up",2022 Q1,0,Growth & Spending
We had billings up 35,2022 Q1,0,Growth & Spending
Thats not sort of driven all by inflation,2022 Q1,0,Growth & Spending
We dont have 35 of inflation,2022 Q1,0,Growth & Spending
"But -- as far as travel goes, you have to realize, people have not been traveling for probably two years",2022 Q1,0,Growth & Spending
Theres a tremendous pent-up demand for travel,2022 Q1,0,Growth & Spending
"I mean our bookings, just from a consumer perspective, on a global basis were up about 38 -- 37",2022 Q1,0,Growth & Spending
"In the U.S., they were up 48",2022 Q1,-1,General
Thats not over last year,2022 Q1,-1,General
Thats over 2019,2022 Q1,0,Growth & Spending
"So, people are looking to get out there and travel",2022 Q1,0,Growth & Spending
And I think thats whats driving us,2022 Q1,0,Growth & Spending
That is not -- it is not inflation-driven when we look at that TE number,2022 Q1,0,Growth & Spending
"The other thing I think is important with the TE number, 121 is a great number, but also lets put it in context",2022 Q1,0,Growth & Spending
Its 121 over last year,2022 Q1,0,Growth & Spending
its not 121 over 2019,2022 Q1,0,Growth & Spending
"So, were not all the way back",2022 Q1,-1,General
"Consumers back, but were not all the way back",2022 Q1,0,Growth & Spending
"As far as large corporations go, you know, and were seeing it in our own company, people are looking to get out and not only gather with their own colleagues, but theyre also looking to get out and meet with customers",2022 Q1,-1,General
Youre seeing conferences come back and so forth,2022 Q1,0,Growth & Spending
"And so, I know in our own company, we are getting together as a senior management team, you know, our top 100, 150 people",2022 Q1,-1,General
"We have some sales meetings that are going on because people have not seen each other, as well as, you know, youre seeing customers opening up their offices",2022 Q1,-1,General
"And I think as far as, you know, COVID affecting all of this, I think we are starting to learn to live with this",2022 Q1,0,Growth & Spending
The reality is COVID is not something I think weve all learned that is going away,2022 Q1,0,Growth & Spending
"Well wind up dealing with this as we deal with the flu, as we deal with strep throat, as we deal with other viruses",2022 Q1,0,Growth & Spending
People will continue to get have colds and get sick and off will go,2022 Q1,0,Growth & Spending
"But I think, you know, the world is opening back up at this point",2022 Q1,-1,General
"And people are excited to go out and see the world again, both from a business perspective and from a consumer perspective",2022 Q1,0,Growth & Spending
"Jeff Campbell -- Chief Financial Officer You know, the only thing I would briefly add, Sanjay, is when you think about travel and entertainment spend, some of that increase is not so much inflation as it is a return to people buying more front of airplane or high-end hotel or high-end restaurant oriented",2022 Q1,1,Executive & Financial
"Some of that is the business travel rebound, where your average business travel purchase is, of course, much higher than the average consumer purchase",2022 Q1,0,Growth & Spending
The other comment Id make going forward is theres certainly lots of uncertainty in the world,2022 Q1,-1,General
"But when you look at everything we see in our actual results and business, you just cant really see any sign of weakness that thats causing as of today",2022 Q1,-1,General
Operator Our next question will come from the line of Mihir Bhatia with Bank of America,2022 Q1,1,Executive & Financial
"Go ahead, please",2022 Q1,2,Customer & Cards
"Mihir Bhatia -- Bank of America Merrill Lynch -- Analyst Good morning, Steve and Jeff",2022 Q1,1,Executive & Financial
"Steve Squeri -- Chairman and Chief Executive Officer Good morning, Mihir",2022 Q1,1,Executive & Financial
Jeff Campbell -- Chief Financial Officer Good morning,2022 Q1,1,Executive & Financial
Mihir Bhatia -- Bank of America Merrill Lynch -- Analyst Thank you for taking my question,2022 Q1,1,Executive & Financial
"You know, a lot has changed since guidance was initially set",2022 Q1,-1,General
And I am curious if you could maybe just talk about how your plans for the year have been evolving since they were established,2022 Q1,0,Growth & Spending
"Are there areas that made sense to lean into now versus what you had thought coming into the year versus maybe pulling back in others? Like, I guess Im just trying to understand the flexibility in the model, particularly on the expense side in terms of, you know, as things change",2022 Q1,-1,General
Whats changing under the hood even as you maintain guidance? Maybe just give us a flavor of that? Thank you,2022 Q1,-1,General
Steve Squeri -- Chairman and Chief Executive Officer Yeah,2022 Q1,1,Executive & Financial
"I think, you know, as far as flexibility, I think, you know, we demonstrated we have tremendous flexibility during the pandemic, you know, especially as that related to our marketing expenditures",2022 Q1,0,Growth & Spending
"And, obviously, as consumers and business travelers didnt use cost -- our Card Member services, you saw flexibility there",2022 Q1,0,Growth & Spending
"So, that -- so, those things we do have some control over",2022 Q1,-1,General
"But as far as, you know, the plan and the guidance that we have, we feel really comfortable where we are from a 9.25 to 9.65",2022 Q1,0,Growth & Spending
"But more importantly, I think we feel comfortable on what we are doing day by day to make sure that we are in line with tracking what our 2024 growth aspirations, which is, you know, a sustainable 10 revenue and, you know, mid-teens EPS",2022 Q1,0,Growth & Spending
And thats how were running the company,2022 Q1,-1,General
"As far as what we see under the hood, we see, as Jeff mentioned, a range of good investment opportunities",2022 Q1,0,Growth & Spending
"And you have to understand, when we see investment opportunities from a card acquisition perspective, they are here today and gone tomorrow",2022 Q1,0,Growth & Spending
"So, if you dont act on them, you dont get them",2022 Q1,-1,General
"And so, we will continue to drive value, shareholder value, by continuing to invest in the business and to grow the business for the medium to the long term",2022 Q1,0,Growth & Spending
"And, you know, thats been a strategy thats worked for us, and that is going to be how were going to run it",2022 Q1,-1,General
"But, you know, right now, if I was to look at the beginning of the year versus now, I probably see better investment opportunities today than I did with the plan",2022 Q1,0,Growth & Spending
"But as we know, those investment opportunities, you know, they pay back over time",2022 Q1,0,Growth & Spending
And what they do is they set us up better for 2023 and for 2024,2022 Q1,0,Growth & Spending
"So, we feel really good about the guidance",2022 Q1,-1,General
We feel really good about the underlying investments that were making and will continue to make,2022 Q1,0,Growth & Spending
"Jeff Campbell -- Chief Financial Officer You know, and the only sort of simple financial summary, I put to that, Mihir, when we gave the guidance for our revenue ambitions are quite ambitious, we feel really good about the momentum we built",2022 Q1,1,Executive & Financial
"But we have more investment opportunities, as I said in my remarks, than we probably anticipated, and maybe a little bit of pressure on costs from inflation",2022 Q1,0,Growth & Spending
"So, all of those things, I think, position us really well to build momentum toward our long-term target of sustainable over 10 revenue growth",2022 Q1,0,Growth & Spending
Operator Our next question will come from the line of John Pancari with Evercore ISI,2022 Q1,-1,General
Go ahead,2022 Q1,2,Customer & Cards
John Pancari -- Evercore ISI -- Analyst Good morning,2022 Q1,1,Executive & Financial
Steve Squeri -- Chairman and Chief Executive Officer Good morning,2022 Q1,1,Executive & Financial
"Jeff Campbell -- Chief Financial Officer Good morning, John",2022 Q1,1,Executive & Financial
"John Pancari -- Evercore ISI -- Analyst So, given the expected Fed moves to cool the economy and team inflation, what degree of slowing in network volumes or billed business volumes, lets go with, do you incorporate in your outlook? And then on the TE side, I know you indicated, its up nicely and continues in April",2022 Q1,-1,General
"You know, how do you view this trend being as the Fed tightens and the economy cools through the year? Jeff Campbell -- Chief Financial Officer You know, the general comment, I would make, John, is as you know, we dont have in-house economists",2022 Q1,0,Growth & Spending
"So we tend to say, we should run the economy and run our guide to run the business, run our guidance based on the macroeconomic consensus, which is not for there to be a recession",2022 Q1,0,Growth & Spending
And the Fed will say that they are certainly focused on bringing inflation down without causing a recession,2022 Q1,0,Growth & Spending
"So, thats whats built into our guidance, and thats how were running the company",2022 Q1,-1,General
"I think, as Steve pointed out earlier, we have clearly demonstrated over the last couple of years our ability to manage the company in a very agile way and react to a scenario thats different than what I just described",2022 Q1,-1,General
"But in terms of our base level of planning, I dont think its our role to second guess that general macroeconomic consensus",2022 Q1,0,Growth & Spending
Operator Our next question will come from the line of Betsy Graseck with Morgan Stanley,2022 Q1,1,Executive & Financial
Go ahead,2022 Q1,2,Customer & Cards
Betsy Graseck -- Morgan Stanley -- Analyst Hi,2022 Q1,1,Executive & Financial
Good morning,2022 Q1,3,Outlook & Guidance
"Steve Squeri -- Chairman and Chief Executive Officer Hi, Betsy",2022 Q1,1,Executive & Financial
"Jeff Campbell -- Chief Financial Officer Hi, Betsy",2022 Q1,1,Executive & Financial
Betsy Graseck -- Morgan Stanley -- Analyst I wanted to just dig in a little bit on the loan growth and the card fee growth,2022 Q1,1,Executive & Financial
"You know, as you indicated, the loan growth is -- still has room to run",2022 Q1,0,Growth & Spending
"So, maybe -- and as well the impact on the NII",2022 Q1,-1,General
"So, maybe you could help us understand",2022 Q1,0,Growth & Spending
"Is it the NII thats likely to accelerate here, but loan growth will be stabilizing, or how are you thinking about that? And also how it relates to the card fees, which I noticed were up nicely in the quarter",2022 Q1,-1,General
Thanks,2022 Q1,2,Customer & Cards
